"Date","Price","Open","High","Low","Change %"
"Feb 28, 2020","1.444","1.553","1.744","1.443","-6.05%"
"Feb 27, 2020","1.537","1.585","1.588","1.504","-2.72%"
"Feb 26, 2020","1.580","1.595","1.606","1.578","-0.63%"
"Feb 25, 2020","1.590","1.603","1.611","1.588","-0.50%"
"Feb 24, 2020","1.598","1.611","1.611","1.593","-0.17%"
"Feb 23, 2020","1.601","1.601","1.601","1.601","0.00%"
"Feb 21, 2020","1.601","1.611","1.613","1.601","0.38%"
"Feb 20, 2020","1.595","1.611","1.628","1.593","-0.50%"
"Feb 19, 2020","1.603","1.611","1.616","1.600","-0.31%"
"Feb 18, 2020","1.608","1.596","1.611","1.590","0.94%"
"Feb 17, 2020","1.593","1.593","1.593","1.593","0.00%"
"Feb 14, 2020","1.593","1.601","1.606","1.593","0.95%"
"Feb 13, 2020","1.578","1.570","1.583","1.562","0.70%"
"Feb 12, 2020","1.567","1.570","1.575","1.562","-0.38%"
"Feb 11, 2020","1.573","1.575","1.580","1.567","-0.32%"
"Feb 10, 2020","1.578","1.578","1.578","1.578","0.00%"
"Feb 09, 2020","1.578","1.578","1.578","1.578","0.00%"
"Feb 07, 2020","1.578","1.560","1.578","1.560","1.68%"
"Feb 06, 2020","1.552","1.549","1.560","1.542","0.13%"
"Feb 05, 2020","1.550","1.552","1.555","1.539","0.52%"
"Feb 04, 2020","1.542","1.567","1.567","1.542","-1.66%"
"Feb 03, 2020","1.568","1.567","1.570","1.567","-0.62%"
"Feb 02, 2020","1.578","1.578","1.578","1.578","0.63%"
"Jan 31, 2020","1.568","1.583","1.588","1.568","2.35%"
"Jan 30, 2020","1.532","1.527","1.544","1.516","0.52%"
"Jan 29, 2020","1.524","1.542","1.542","1.516","0.13%"
"Jan 28, 2020","1.522","1.542","1.542","1.522","-0.33%"
"Jan 27, 2020","1.527","1.547","1.547","1.527","-1.31%"
"Jan 26, 2020","1.547","1.547","1.547","1.547","0.66%"
"Jan 24, 2020","1.537","1.542","1.542","1.537","0.20%"
"Jan 23, 2020","1.534","1.534","1.534","1.514","0.66%"
"Jan 22, 2020","1.524","1.565","1.565","1.514","0.33%"
"Jan 21, 2020","1.519","1.578","1.578","1.516","-1.33%"
"Jan 20, 2020","1.539","1.539","1.539","1.539","0.36%"
"Jan 17, 2020","1.534","1.542","1.542","1.532","1.32%"
"Jan 16, 2020","1.514","1.537","1.572","1.511","-1.30%"
"Jan 15, 2020","1.534","1.575","1.575","1.527","0.33%"
"Jan 14, 2020","1.529","1.537","1.575","1.522","0.13%"
"Jan 13, 2020","1.527","1.532","1.537","1.519","0.34%"
"Jan 12, 2020","1.522","1.522","1.522","1.522","0.00%"
"Jan 10, 2020","1.522","1.512","1.529","1.512","0.20%"
"Jan 09, 2020","1.519","1.549","1.549","1.501","1.00%"
"Jan 08, 2020","1.504","1.516","1.532","1.476","-0.66%"
"Jan 07, 2020","1.514","1.565","1.565","1.509","-1.17%"
"Jan 06, 2020","1.532","1.535","1.535","1.524","0.51%"
"Jan 05, 2020","1.524","1.524","1.524","1.524","0.00%"
"Jan 03, 2020","1.524","1.514","1.532","1.514","-0.52%"
