"Date","Price","Open","High","Low","Change %"
"Oct 23, 2020","0.114","0.137","0.137","0.114","1.87%"
"Oct 22, 2020","0.112","0.122","0.127","0.112","-4.27%"
"Oct 21, 2020","0.117","0.117","0.117","0.117","0.00%"
"Oct 20, 2020","0.117","0.117","0.119","0.117","2.63%"
"Oct 19, 2020","0.114","0.124","0.124","0.112","-2.31%"
"Oct 18, 2020","0.117","0.117","0.117","0.117","0.00%"
"Oct 16, 2020","0.117","0.119","0.124","0.112","0.00%"
"Oct 15, 2020","0.117","0.119","0.140","0.112","0.00%"
"Oct 14, 2020","0.117","0.127","0.127","0.117","0.00%"
"Oct 13, 2020","0.117","0.122","0.127","0.117","0.00%"
"Oct 09, 2020","0.117","0.117","0.124","0.112","4.46%"
"Oct 08, 2020","0.112","0.117","0.134","0.112","0.00%"
"Oct 07, 2020","0.112","0.112","0.122","0.112","-1.75%"
"Oct 06, 2020","0.114","0.114","0.117","0.112","6.54%"
"Oct 05, 2020","0.107","0.106","0.117","0.101","2.88%"
"Oct 04, 2020","0.104","0.104","0.104","0.104","2.97%"
"Oct 02, 2020","0.101","0.117","0.117","0.101","-5.61%"
"Oct 01, 2020","0.107","0.114","0.132","0.106","0.00%"
"Sep 30, 2020","0.107","0.114","0.114","0.106","0.00%"
"Sep 29, 2020","0.107","0.117","0.117","0.104","0.00%"
"Sep 28, 2020","0.107","0.114","0.119","0.106","-1.92%"
"Sep 27, 2020","0.109","0.109","0.109","0.109","-2.59%"
"Sep 25, 2020","0.112","0.109","0.117","0.106","2.75%"
"Sep 24, 2020","0.109","0.109","0.112","0.106","1.87%"
"Sep 23, 2020","0.107","0.109","0.109","0.106","-1.83%"
"Sep 22, 2020","0.109","0.117","0.117","0.109","1.87%"
"Sep 21, 2020","0.107","0.124","0.124","0.106","-6.14%"
"Sep 18, 2020","0.114","0.114","0.122","0.112","1.79%"
"Sep 17, 2020","0.112","0.122","0.140","0.109","-4.27%"
"Sep 16, 2020","0.117","0.127","0.127","0.117","0.00%"
"Sep 15, 2020","0.117","0.124","0.140","0.117","-4.10%"
"Sep 14, 2020","0.122","0.124","0.129","0.122","2.35%"
"Sep 13, 2020","0.119","0.119","0.119","0.119","-2.30%"
"Sep 11, 2020","0.122","0.129","0.134","0.119","0.00%"
"Sep 10, 2020","0.122","0.132","0.134","0.122","-3.94%"
"Sep 09, 2020","0.127","0.137","0.137","0.127","0.00%"
"Sep 08, 2020","0.127","0.119","0.129","0.119","4.35%"
"Sep 07, 2020","0.122","0.122","0.122","0.122","-1.85%"
"Sep 04, 2020","0.124","0.117","0.127","0.114","4.20%"
"Sep 03, 2020","0.119","0.122","0.122","0.117","0.00%"
"Sep 02, 2020","0.119","0.127","0.127","0.117","1.71%"
"Sep 01, 2020","0.117","0.132","0.132","0.117","4.46%"
"Aug 31, 2020","0.112","0.109","0.122","0.109","0.00%"
"Aug 30, 2020","0.112","0.112","0.112","0.112","0.00%"
"Aug 28, 2020","0.112","0.109","0.135","0.107","-1.75%"
"Aug 27, 2020","0.114","0.109","0.132","0.107","1.79%"
"Aug 26, 2020","0.112","0.119","0.119","0.112","-4.27%"
"Aug 25, 2020","0.117","0.119","0.132","0.114","0.00%"
"Aug 24, 2020","0.117","0.122","0.132","0.117","0.00%"
"Aug 23, 2020","0.117","0.117","0.117","0.117","-1.93%"
"Aug 21, 2020","0.119","0.119","0.132","0.117","0.00%"
"Aug 20, 2020","0.119","0.142","0.142","0.117","-2.46%"
"Aug 19, 2020","0.122","0.137","0.137","0.119","0.00%"
"Aug 18, 2020","0.122","0.137","0.137","0.119","4.27%"
"Aug 17, 2020","0.117","0.137","0.137","0.117","-4.10%"
"Aug 14, 2020","0.122","0.142","0.142","0.117","0.00%"
"Aug 13, 2020","0.122","0.137","0.137","0.117","0.00%"
"Aug 12, 2020","0.122","0.124","0.137","0.117","-1.61%"
"Aug 11, 2020","0.124","0.137","0.137","0.122","1.64%"
"Aug 10, 2020","0.122","0.119","0.124","0.117","4.54%"
"Aug 09, 2020","0.117","0.117","0.117","0.117","0.00%"
"Aug 07, 2020","0.117","0.117","0.132","0.112","2.63%"
"Aug 06, 2020","0.114","0.114","0.137","0.112","-4.20%"
"Aug 05, 2020","0.119","0.109","0.122","0.104","11.21%"
"Aug 04, 2020","0.107","0.122","0.122","0.106","0.00%"
"Aug 03, 2020","0.107","0.099","0.117","0.099","5.21%"
"Aug 02, 2020","0.102","0.099","0.102","0.099","-2.21%"
"Jul 31, 2020","0.104","0.099","0.117","0.097","0.00%"
"Jul 30, 2020","0.104","0.109","0.132","0.102","-7.14%"
"Jul 29, 2020","0.112","0.122","0.122","0.112","-9.68%"
"Jul 28, 2020","0.124","0.147","0.147","0.122","-6.06%"
"Jul 27, 2020","0.132","0.147","0.147","0.132","0.00%"
"Jul 26, 2020","0.132","0.132","0.132","0.132","-1.57%"
"Jul 24, 2020","0.134","0.134","0.137","0.132","0.00%"
"Jul 23, 2020","0.134","0.134","0.137","0.132","1.52%"
"Jul 22, 2020","0.132","0.147","0.147","0.132","-1.49%"
"Jul 21, 2020","0.134","0.147","0.147","0.129","3.88%"
"Jul 20, 2020","0.129","0.132","0.150","0.129","-2.27%"
"Jul 17, 2020","0.132","0.147","0.147","0.132","0.00%"
"Jul 16, 2020","0.132","0.162","0.162","0.132","-7.04%"
"Jul 15, 2020","0.142","0.157","0.157","0.142","-3.40%"
"Jul 14, 2020","0.147","0.162","0.162","0.147","-3.29%"
"Jul 13, 2020","0.152","0.152","0.167","0.150","1.54%"
"Jul 12, 2020","0.150","0.150","0.150","0.150","-1.51%"
"Jul 10, 2020","0.152","0.167","0.167","0.147","-1.94%"
"Jul 09, 2020","0.155","0.167","0.167","0.155","-3.12%"
"Jul 08, 2020","0.160","0.178","0.178","0.157","-3.03%"
"Jul 07, 2020","0.165","0.183","0.183","0.165","-1.20%"
"Jul 06, 2020","0.167","0.158","0.178","0.158","4.24%"
"Jul 05, 2020","0.160","0.160","0.160","0.160","-1.11%"
"Jul 02, 2020","0.162","0.160","0.183","0.160","0.00%"
"Jul 01, 2020","0.162","0.165","0.168","0.163","-1.82%"
"Jun 30, 2020","0.165","0.165","0.183","0.165","-1.20%"
"Jun 29, 2020","0.167","0.183","0.183","0.165","0.00%"
"Jun 28, 2020","0.167","0.167","0.167","0.167","-1.53%"
"Jun 26, 2020","0.170","0.175","0.188","0.167","-1.73%"
"Jun 25, 2020","0.173","0.170","0.188","0.167","1.76%"
"Jun 24, 2020","0.170","0.188","0.188","0.167","-2.86%"
"Jun 23, 2020","0.175","0.193","0.193","0.175","1.16%"
"Jun 22, 2020","0.173","0.170","0.188","0.170","0.00%"
"Jun 21, 2020","0.172","0.170","0.172","0.170","-1.43%"
"Jun 19, 2020","0.175","0.188","0.188","0.172","0.00%"
"Jun 18, 2020","0.175","0.198","0.198","0.172","-2.78%"
"Jun 17, 2020","0.180","0.203","0.203","0.178","-4.26%"
"Jun 16, 2020","0.188","0.206","0.206","0.183","0.00%"
"Jun 15, 2020","0.188","0.188","0.203","0.185","1.62%"
"Jun 12, 2020","0.185","0.183","0.216","0.183","2.78%"
"Jun 11, 2020","0.180","0.200","0.200","0.178","-2.70%"
"Jun 10, 2020","0.185","0.190","0.193","0.183","-1.60%"
"Jun 09, 2020","0.188","0.193","0.198","0.188","-1.05%"
"Jun 08, 2020","0.190","0.181","0.204","0.178","3.71%"
"Jun 07, 2020","0.183","0.181","0.183","0.181","0.00%"
"Jun 05, 2020","0.183","0.193","0.201","0.178","2.81%"
"Jun 04, 2020","0.178","0.178","0.201","0.173","0.00%"
"Jun 03, 2020","0.178","0.178","0.186","0.173","0.00%"
"Jun 02, 2020","0.178","0.172","0.193","0.172","6.59%"
"Jun 01, 2020","0.167","0.178","0.185","0.162","2.83%"
"May 31, 2020","0.162","0.162","0.162","0.162","-2.75%"
"May 29, 2020","0.167","0.178","0.190","0.165","-1.76%"
"May 28, 2020","0.170","0.167","0.188","0.167","-1.73%"
"May 27, 2020","0.173","0.162","0.188","0.162","13.82%"
"May 26, 2020","0.152","0.157","0.198","0.152","-13.14%"
"May 25, 2020","0.175","0.157","0.175","0.157","15.13%"
"May 22, 2020","0.152","0.167","0.193","0.145","3.40%"
"May 21, 2020","0.147","0.198","0.198","0.142","-2.00%"
"May 20, 2020","0.150","0.178","0.183","0.145","-3.23%"
"May 19, 2020","0.155","0.178","0.178","0.152","1.97%"
"May 18, 2020","0.152","0.147","0.172","0.145","5.12%"
"May 17, 2020","0.145","0.147","0.147","0.145","-4.87%"
"May 15, 2020","0.152","0.167","0.178","0.147","0.00%"
"May 14, 2020","0.152","0.172","0.180","0.147","-1.94%"
"May 13, 2020","0.155","0.157","0.160","0.150","-3.12%"
"May 12, 2020","0.160","0.190","0.190","0.152","-3.03%"
"May 11, 2020","0.165","0.168","0.168","0.140","-1.73%"
"May 10, 2020","0.168","0.145","0.168","0.145","14.22%"
"May 08, 2020","0.147","0.142","0.165","0.135","5.00%"
"May 07, 2020","0.140","0.170","0.173","0.137","-3.45%"
"May 06, 2020","0.145","0.147","0.168","0.140","0.00%"
"May 05, 2020","0.145","0.135","0.147","0.132","21.85%"
"May 04, 2020","0.119","0.147","0.147","0.117","-4.26%"
"May 03, 2020","0.124","0.124","0.124","0.124","1.89%"
"May 01, 2020","0.122","0.137","0.137","0.112","7.02%"
"Apr 30, 2020","0.114","0.122","0.147","0.109","-10.24%"
"Apr 29, 2020","0.127","0.142","0.147","0.124","-9.29%"
"Apr 28, 2020","0.140","0.172","0.175","0.137","-1.41%"
"Apr 27, 2020","0.142","0.170","0.170","0.142","-3.47%"
"Apr 26, 2020","0.147","0.147","0.147","0.147","3.59%"
"Apr 24, 2020","0.142","0.162","0.167","0.129","-2.07%"
"Apr 23, 2020","0.145","0.167","0.167","0.137","2.11%"
"Apr 22, 2020","0.142","0.145","0.178","0.140","-3.40%"
"Apr 21, 2020","0.147","0.165","0.165","0.137","1.38%"
"Apr 20, 2020","0.145","0.175","0.175","0.142","-15.94%"
"Apr 19, 2020","0.172","0.172","0.172","0.172","1.47%"
"Apr 17, 2020","0.170","0.218","0.218","0.157","-5.56%"
"Apr 16, 2020","0.180","0.434","0.434","0.180","-7.69%"
"Apr 15, 2020","0.195","0.259","0.259","0.175","-15.58%"
"Apr 14, 2020","0.231","0.310","0.310","0.223","-14.13%"
"Apr 13, 2020","0.269","0.290","0.300","0.249","-11.19%"
"Apr 12, 2020","0.303","0.303","0.303","0.303","23.13%"
"Apr 09, 2020","0.246","0.262","0.469","0.214","5.58%"
"Apr 08, 2020","0.233","0.211","0.242","0.178","10.43%"
"Apr 07, 2020","0.211","0.178","0.216","0.163","31.88%"
"Apr 06, 2020","0.160","0.396","0.396","0.145","5.12%"
"Apr 05, 2020","0.152","0.152","0.152","0.152","1.47%"
